representants_id;date_premiere_publication;declaration_organisation_appartenance;declaration_tiers;denomination;identifiant_national;activites_publiees;page_facebook;page_linkedin;page_twitter;nom_usage_HATVP;sigle_HATVP;type_identifiant_national;exercices_id;date_debut;date_fin;exercice_sans_activite;nombre_activites;declaration_incomplete;date_publication;exercice_sans_CA;montant_depense;nombre_salaries;chiffre_affaires;annee_debut;annee_fin;montant_depense_inf;montant_depense_sup;ca_inf;ca_sup;activite_id;date_publication_activite;identifiant_fiche;objet_activite;domaines_intervention_actions_menees;action_representation_interet_id;observation;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre;beneficiaire_action_menee;action_menee_en_propre;action_menee;action_menee_autre;decision_concernee
0;08/07/2019 16:23:54;False;False;STORENGY;833718653;False;;;;STORENGY SAS;;SIREN;0;2019-07-09;2019-12-31;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
0;08/07/2019 16:23:54;False;False;STORENGY;833718653;False;;;;STORENGY SAS;;SIREN;1;2019-01-01;2019-07-08;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
1;05/07/2019 16:50:18;True;False;UNION DES PORTS DE FRANCE;319617635;False;;;;;;SIREN;2;2019-07-06;2019-12-31;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
1;05/07/2019 16:50:18;True;False;UNION DES PORTS DE FRANCE;319617635;False;;;;;;SIREN;3;2019-01-01;2019-07-05;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
2;11/07/2019 15:23:46;True;False;FEDERATION DU SERVICE AUX PARTICULIERS F.E.S.P.;491820510;True;;;;;;SIREN;4;2019-07-12;2020-06-07;False;0;False;;;;;;2019;2020;0;0;0;0.0;;;;;;;;;;;;;;;
3;12/09/2019 09:16:33;False;True;IMAGE ET DIALOGUE;492587472;False;;;;;;SIREN;6;2019-11-01;2020-10-31;False;0;False;;;;;;2019;2020;0;0;0;0.0;;;;;;;;;;;;;;;
3;12/09/2019 09:16:33;False;True;IMAGE ET DIALOGUE;492587472;False;;;;;;SIREN;7;2019-09-13;2019-10-31;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
3;12/09/2019 09:16:33;False;True;IMAGE ET DIALOGUE;492587472;False;;;;;;SIREN;8;2018-11-01;2019-09-12;False;0;False;;;;;;2018;2019;0;0;0;0.0;;;;;;;;;;;;;;;
4;22/11/2019 12:13:02;True;False;FEDE NAT SYNDICATS INTERNES EN PHARMACIE;421352212;False;https://www.facebook.com/fnsip/?eid=ARAPFi0GbavoPr_CaNjtL21CgkIUMyVzMTgMqeX44bZChZZ3_VUTYnJtmrzvenUvvBuaaUP0s85a2DI0;https://www.linkedin.com/in/fnsip-bm-b9306187/;https://twitter.com/fnsip_bm;;;SIREN;9;2019-11-23;2020-06-30;False;0;False;;;;;;2019;2020;0;0;0;0.0;;;;;;;;;;;;;;;
5;08/07/2019 14:32:25;False;True;KAIROS MSC;818757601;False;;;;;;SIREN;10;2019-07-09;2019-12-31;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
5;08/07/2019 14:32:25;False;True;KAIROS MSC;818757601;False;;;;;;SIREN;11;2019-01-01;2019-07-08;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
6;27/06/2019 11:41:55;False;False;ASS INNOVAT SCIENCES ANALYSES;479483315;True;;;;;;SIREN;12;2019-06-21;2019-12-31;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
6;27/06/2019 11:41:55;False;False;ASS INNOVAT SCIENCES ANALYSES;479483315;True;;;;;;SIREN;13;2019-06-28;2019-12-31;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
6;27/06/2019 11:41:55;False;False;ASS INNOVAT SCIENCES ANALYSES;479483315;True;;;;;;SIREN;14;2019-01-01;2019-06-27;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
7;29/03/2019 18:06:37;False;False;SOS MEDECINS FRANCE;520043373;True;;;;;;SIREN;16;2019-01-01;2019-12-31;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
8;11/04/2019 23:04:36;False;False;FRANCE PLAIDOYER;843941998;False;https://www.facebook.com/FrancePlaidoyer/;https://www.linkedin.com/company/france-plaidoyer;https://twitter.com/FrancePlaidoyer;;;SIREN;18;2019-04-11;2019-12-31;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
9;07/05/2019 18:12:34;False;False;PARIS ANIMAUX ZOOPOLIS;H240456298;True;;;;;;HATVP;19;2019-05-07;2019-12-31;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
10;27/04/2018 16:37:10;True;True;GROUPEMENT NAT CARROSSIERS REPARATEURS;392828653;True;;;;FÉDÉRATION FRANÇAISE DE CARROSSERIE INDUSTRIES ET SERVICES;FFC REPARATEURS;SIREN;22;2019-01-01;2019-12-31;False;0;False;;;;;;2019;2019;0;0;0;0.0;;;;;;;;;;;;;;;
11;01/07/2019 10:29:13;True;False;ORACLE FRANCE;335092318;False;https://www.facebook.com/Oracle/;https://www.linkedin.com/company/oracle/;https://twitter.com/Oracle_France;;;SIREN;25;2019-07-02;2020-05-31;False;0;False;;;;;;2019;2020;0;0;0;0.0;;;;;;;;;;;;;;;
